ID,layers,tau,optimizer,advantage,max_timesteps,gym_record,activation,batch_size,episodes,exploration,gamma,hidden_size,train_repeat,display,min_train,batch_norm,Rewardscheme,s_vision,Details,AverageSteps,AverageReward,AverageTime
1,1,0.01,adam,avg,1000,None,relu,100,200,0.1,0.99,100,10,True,10,False,"[-1,1,-0.1]",180,,858.6274509803922,-85.65359477124183,1078.5211332231636
2,2,0.01,adam,avg,1000,None,relu,100,200,0.1,0.99,200,10,True,10,False,"[-1,1,-0.1]",180,,757.2666666666667,-75.40166666666666,968.0767184197185
3,1,0.1,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1,1,-0.1]",180,,270.32,-26.116999999999997,137.91150206567085
4,1,0.01,adam,avg,1000,None,relu,100,200,0.1,0.99,100,10,True,10,False,"[-1,10,-1]",180,,859.4047619047619,-857.5,920.7259939247621
5,1,0.01,adam,avg,1000,None,relu,100,200,0.1,0.99,200,10,True,10,False,"[-1,1,-0.1]",180,,782.5119047619048,-77.95952380952382,979.1802415278064
6,2,0.01,adam,avg,1000,None,relu,100,200,0.1,0.99,100,10,True,10,False,"[-1,1,-0.1]",180,,925.2535211267606,-92.41971830985916,1198.4721744799729
7,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1,1,-0.1]",180,,169.33,-15.958,54.2744292354406
8,1,0.01,adam,max,1000,None,relu,100,200,0.1,0.99,100,10,True,10,False,"[-1,1,-0.1]",180,,853.9605263157895,-85.17236842105262,1084.9539456743055
9,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,337.195,-32.8445,221.78888763187354
10,2,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,721.45,-71.705,1165.0955945827554
11,1,0.1,adam,max,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,214.445,-20.5495,97.88115768909725
12,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,711.97,-708.22,1008.6743782176227
13,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,241.575,-23.2675,125.6326662373462
14,2,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,561.275,-55.4825,713.1220344555221
15,1,0.01,adam,max,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,355.37,-34.717000000000006,226.85884081008044
16,1,0.01,adam,max,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,890.94,-88.884,1593.3715788388631
17,1,0.01,adam,avg,1000,None,relu,100,200,0.01,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,916.225,-91.5075,2514.251797895502
18,2,0.01,adam,avg,1000,None,relu,100,200,0.01,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,945.99,-94.524,3005.9877360785304
19,1,0.1,adam,avg,1000,None,relu,10,200,0.01,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,735.905,-73.2355,1175.9943404102971
20,1,0.01,adam,avg,1000,None,relu,100,200,0.01,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,926.685,-925.535,1856.235758922011
21,1,0.01,adam,avg,1000,None,relu,100,200,0.01,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,895.805,-89.42049999999999,1802.151280438728
22,2,0.01,adam,avg,1000,None,relu,100,200,0.01,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,988.165,-98.79150000000001,2966.9462525522886
23,1,0.01,adam,avg,1000,None,relu,10,200,0.01,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,907.25,-90.59,2465.092830444444
24,1,0.01,adam,max,1000,None,relu,100,200,0.01,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,864.215,-86.23650000000002,1584.4781020415496
25,1,0.01,adam,avg,1000,None,relu,100,200,0.001,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,985.42,-98.522,2798.7112619008362
26,2,0.01,adam,avg,1000,None,relu,100,200,0.001,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,956.385,-95.5785,3011.769398366259
27,1,0.1,adam,avg,1000,None,relu,10,200,0.001,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,307.37,-29.837,177.65486404540073
28,1,0.01,adam,avg,1000,None,relu,100,200,0.001,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,956.5929648241206,-955.9396984924623,2678.844210960383
29,1,0.01,adam,avg,1000,None,relu,100,200,0.001,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,935.845,-93.50450000000001,1850.561650735328
30,2,0.01,adam,avg,1000,None,relu,100,200,0.001,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,926.61,-92.581,2024.1433054067609
31,1,0.01,adam,avg,1000,None,relu,10,200,0.001,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,313.235,-30.4285,191.370008090732
32,1,0.01,adam,max,1000,None,relu,100,200,0.001,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,882.115,-88.0415,1770.0632591591059
33,1,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,796.425,-79.3525,3161.769849277751
34,2,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,821.075,-81.8525,2309.9394127737587
35,1,0.1,adam,avg,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,775.215,-77.2315,2035.8354342078574
36,1,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,844.195,-841.995,2427.7535614014887
37,1,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,824.185,-82.15350000000001,2994.9530687305073
38,2,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,791.79,-78.87400000000001,3442.362613062674
39,1,0.01,adam,avg,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,833.32,-83.102,3299.1388312758995
40,1,0.01,adam,max,1000,None,relu,50,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,917.495,-91.63950000000001,3992.2775726426457
41,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,662.265,-65.7415,1502.22277425785
42,2,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,668.105,-66.28550000000001,1050.6790857708634
43,1,0.1,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,257.695,-24.8145,136.22764436005937
44,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,288.705,-279.905,163.19790133114816
45,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,200,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,695.375,-69.0875,1044.8121742436506
46,2,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,786.995,-78.32950000000001,1361.364528692054
47,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,482.74,-47.50899999999999,1164.4578275335866
48,1,0.01,adam,max,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,307.93,-29.907999999999998,362.6455508921726
49,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,509.53768844221105,-503.3065326633166,529.3454481010826
50,2,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,200,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,700.095,-695.495,1002.7224281060614
51,1,0.1,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,225.4,-216.3,97.77813172102964
52,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,332.98,-32.418,214.30381939891865
53,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,200,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,230.95,-222.15,120.1315172207428
54,2,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,610.905,-604.855,1248.4267955707585
55,1,0.01,adam,avg,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,407.565,-400.565,329.17335431208375
56,1,0.01,adam,max,1000,None,relu,5,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,193.645,-184.445,71.3473173618341
57,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",360,,798.35,-79.53,1338.2549979592463
58,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,Static Env,46.805,-3.6855,7.2709331750869
59,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,Water walls,257.85,-24.845,116.02529039145215
60,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",360,"water walls, static env",703.205,-69.7655,952.5988051472517
61,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,",[-1.0, 1.0, -0.1]",180,,723.37265917603,-71.95898876404495,2883.798488746032
62,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,different SE,30.32,-2.037,7.3954677021479505
63,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,SE - water,24.7,-1.47,6.173447759152
65,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",350,SE - solid,171.795,-16.1845,58.54870632290631
66,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",90,,252.475,-24.3575,122.90479347228965
71,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,Replication of Experiment E7,758.375,-75.4625,1299.042637778231
72,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",90,,154.096,-14.4616,275.17003843425636
73,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",180,,423.18,-415.78,333.366582009759
74,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -1.0]",180,,208.945,686.055,72.11737291813715
75,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -10.0]",180,,274.685,-1916.85,132.8143735611366
76,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -100.0]",180,,354.565,-34711.5,217.22607211951524
77,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -1000.0]",180,,403.705,-402970.0,285.0543477725433
78,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-10.0, 10.0, -1.0]",90,,198.811,-189.931,451.999028051847
79,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -1.0]",90,,213.973,711.027,509.5035360089159
80,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -10.0]",90,,203.697,-1128.97,463.07848766594367
81,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -100.0]",180,,283.022,-27479.2,874.5684888837449
82,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-10.0, 1000.0, -1000.0]",180,,308.206,-307391.0,1021.6318288803217
83,1,0.01,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,262.234,-25.285400000000003,768.8514756083599
84,1,0.001,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,262.234,-25.285400000000003,769.1716799037966
85,1,0.1,adam,avg,1000,None,relu,10,1000,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,262.234,-25.285400000000003,770.8999402053479
88,1,0.01,adam,avg,1000,None,relu,10,200,0.1,0.99,100,10,True,10,False,"[-1.0, 1.0, -0.1]",180,,650.9125,-64.62625,104.74170346380193
1474081040,1,0.001,adam,naive,1000,None,tanh,100,1200,0.1,0.99,100,10,True,10,False,"[-1,10,-1]",180,,321.02491103202846,-312.87544483985766,442.91126862542063
1474931636,1,0.01,adam,naive,1000,None,tanh,100,200,0.1,0.99,100,10,True,10,False,"[-1,10,-1]",180,,213.24,-203.94,189.23209673880368
1476452872,1,0.001,adam,naive,1000,None,tanh,100,200,0.1,0.99,100,10,True,10,False,"[-1,10,-1]",180,,345.28,-337.28,318.5741631925872
